name,type,id,level,play_cost,evolution_cost,evolution_color,evolution_level,xros_req,color,color2,digi_type,digi_type2,form,dp,attribute,rarity,stage,artist,main_effect,source_effect,alt_effect,series,pretty_url,date_added,tcgplayer_name,tcgplayer_id,set_name
A Blazing Storm of Metal!,Option,BT5-103,,1.0,,,,,Black,,,,,,,U,,,"[Main] Until the end of your opponent's next turn, all of your Digimon with ＜Reboot＞ get +1000 DP and ＜Blocker＞ (At blocker timing, by suspending this Digimon, it becomes the attack target.).","Security Effect [Security] Your opponent's Digimon can't attack players for the turn. Then, add this card to your hand.",,Digimon Card Game,a-blazing-storm-of-metal-bt5-103,2024-05-27 15:14:30,A Blazing Storm of Metal!,245181.0,['BT-05: Booster Battle Of Omni']
A Delicate Plan,Option,BT3-097,,1.0,,,,,Red,,,,,,,U,,,"[Main] 1 of your Digimon gains ""[Security] effects on Option cards checked by this Digimon don't activate"" for the turn.",Security Effect [Security] Add this card to the hand.,,Digimon Card Game,a-delicate-plan-bt3-097,2024-05-27 15:14:30,A Delicate Plan,231742.0,"['BT-03: Booster Union Impact', 'BT01-03: Release Special Booster Ver.1.5']"
Absolute Blast,Option,BT5-097,,6.0,,,,,Blue,,,,,,,U,,,"[Main] Trash the bottom digivolution card of 1 of your opponent's Digimon. Then, return 1 of your opponent's Digimon with no digivolution cards to the bottom of its owner's deck.",Security Effect [Security] Activate this card's [Main] effects.,,Digimon Card Game,absolute-blast-bt5-097,2024-05-27 15:14:30,Absolute Blast,245150.0,"['BT-05: Booster Battle Of Omni', 'Summer 2022 Dash Pack']"
Achillesmon,Digimon,BT16-047,6.0,11.0,3.0,,,[Digivolve] Lv.5 w/[Pulsemon] in text: Cost 3,Green,,Beastkin,,,11000.0,Virus,U,,,"[When Digivolving] Suspend 1 of your opponent's Digimon. Then, 1 of their Digimon can't unsuspend until the end of their turn.
[All Turns] When this Digimon deletes an opponent's Digimon in battle, if you have 3 or more security cards, trash the top card of your opponent's security stack. If you have 3 or fewer, gain 2 memory.",,[Digivolve] Lv.5 w/[Pulsemon] in text: Cost 3,Digimon Card Game,achillesmon-bt16-047,2024-05-27 15:14:30,Achillesmon,548430.0,['BT-16: Booster Beginning Observer']
Acid Injection,Option,BT6-099,,1.0,,,,,Yellow,,,,,,,U,,,"[Main] Trash the top card of your security stack. Then, 1 of your opponent's Digimon gets -5000 DP for the turn.",Security Effect [Security] Add this card to the hand.,,Digimon Card Game,acid-injection-bt6-099,2024-05-27 15:14:30,Acid Injection,249710.0,['BT-06: Booster Double Diamond']
ADR-01 Jeri,Digimon,EX2-049,,5.0,,,,,White,,Espionage Agent,,D-Reaper,5000.0,,U,D-Reaper,,[Main] You may suspend this Digimon to Reveal the top 5 cards of your deck. Place 1 [ADR-02 Searcher] among them under 1 of your [Mother D-Reaper]s as its bottom digivolution card. Place the remaining cards at the bottom of your deck in any order.,,,Digimon Card Game,adr-01-jeri-ex2-049,2024-05-27 15:14:30,ADR-01 Jeri,274945.0,['EX-02: Theme Booster Digital Hazard']
ADR-01 Jeri,Digimon,BT19-078,,5.0,,,,,White,,Espionage Agent,,D-Reaper,2000.0,,C,D-Reaper,,"[On Play] For each digivolution card of 1 of your [Mother D-Reaper]s, 1 of your opponent's Digimon gets -1000 for the turn.
[Main] Place this Digimon as the bottom digivolution card of 1 of your [Mother D-Reaper] without [ADR-01 Jeri] in its digivolution cards.","[Opponent's Turn] When any of your opponent's Digimon attack, you may play 1 [ADR-01 Jeri] from this Digimon's digivolution cards without paying the cost. If you played, you may change the attack target to the Digimon played by this effect.",,Digimon Card Game,adr-01-jeri-bt19-078,2024-09-09 08:04:32,ADR-01 Jeri,607274.0,"['BT-19: Booster Xros Evolution', 'BT19-20: Special Booster Ver.2.5']"
ADR-02 Searcher,Digimon,EX2-046,,3.0,,,,,White,,Intel Acquisition Agent,,D-Reaper,1000.0,,C,D-Reaper,,"When you would play this card from your hand, reduce its play cost by 2 if you don't have another [ADR-02 Searcher] in play.
[Your Turn] This Digimon can't attack players.
[On Play] ＜Draw 1＞ (Draw 1 card from your deck.)",[Your Turn] All of your Digimon with the [D-Reaper] trait get +1000 DP.,,Digimon Card Game,adr-02-searcher-ex2-046,2024-05-27 15:14:30,ADR-02 Searcher,274957.0,['EX-02: Theme Booster Digital Hazard']
ADR-03 Pendulum Feet,Digimon,EX2-047,,3.0,,,,,White,,AA Defense Agent,,D-Reaper,3000.0,,C,D-Reaper,,[On Play] Reveal the top 3 cards of your deck. Add 1 card with the [D-Reaper] trait and 1 [ADR-02 Searcher] among them to your hand. Place the remaining cards on the bottom of your deck in any order.,,,Digimon Card Game,adr-03-pendulum-feet-ex2-047,2024-05-27 15:14:30,ADR-03 Pendulum Feet,274948.0,['EX-02: Theme Booster Digital Hazard']
ADR-04 Bubbles,Digimon,EX2-048,,3.0,,,,,White,,Ground Combat Agent,,D-Reaper,3000.0,,C,D-Reaper,,"[Security] Place 1 of your [ADR-02 Searcher]s from in play or from your hand under 1 of your [Mother D-Reaper]s as its bottom digivolution card.
[On Play] Place 1 of your [ADR-02 Searcher]s from in play or from your hand under 1 of your [Mother D-Reaper]s as its bottom digivolution card.",,,Digimon Card Game,adr-04-bubbles-ex2-048,2024-05-27 15:14:30,ADR-04 Bubbles,274947.0,['EX-02: Theme Booster Digital Hazard']
ADR-05 Creep Hands,Digimon,EX2-050,,5.0,,,,,White,,Grappling Agent,,D-Reaper,6000.0,,C,D-Reaper,,"[Opponent's Turn] While you have a [Mother D-Reaper] in play, this Digimon gains ＜Blocker＞ (At blocker timing, by suspending this Digimon, it becomes the attack target.).",,,Digimon Card Game,adr-05-creep-hands-ex2-050,2024-05-27 15:14:30,ADR-05 Creep Hands,274943.0,['EX-02: Theme Booster Digital Hazard']
ADR-06 Horn Striker,Digimon,EX2-052,,7.0,,,,,White,,Commander Agent,,D-Reaper,7000.0,,C,D-Reaper,,"[Your Turn] While you have a [Mother D-Reaper] in play, this Digimon gains ＜Rush＞ (This Digimon can attack the turn it comes into play.).",,,Digimon Card Game,adr-06-horn-striker-ex2-052,2024-05-27 15:14:30,ADR-06 Horn Striker,274938.0,['EX-02: Theme Booster Digital Hazard']
ADR-07 Palates Head,Digimon,EX2-051,,6.0,,,,,White,,Reconnaissance Agent,,D-Reaper,3000.0,,C,D-Reaper,,"[Main] If you have a [Mother D-Reaper] in play, you may suspend this Digimon to delete 1 of your opponent's Digimon with DP less than or equal to this Digimon's DP.",,,Digimon Card Game,adr-07-palates-head-ex2-051,2024-05-27 15:14:30,ADR-07 Palates Head,274941.0,['EX-02: Theme Booster Digital Hazard']
ADR-08 Optimizer,Digimon,EX2-053,,10.0,,,,,White,,Mothership Agent,,D-Reaper,9000.0,,C,D-Reaper,,"[On Play] [When Attacking] [Once Per Turn] If one of your [Mother D-Reaper]s has 5 or more digivolution cards, reveal the top 3 cards of your deck. You may play 1 card with the [D-Reaper] trait and a play cost of 10 or less among them without paying its memory cost. Place the remaining cards at the top of your deck in any order.",,,Digimon Card Game,adr-08-optimizer-ex2-053,2024-05-27 15:14:30,ADR-08 Optimizer,274936.0,"['EX-02: Theme Booster Digital Hazard', 'Revision Pack 2023']"
ADR-09 Gatekeeper,Digimon,EX2-054,,11.0,,,,,White,,Base Defense Agent,,D-Reaper,10000.0,,C,D-Reaper,,"[Security] Play this card without battling and without paying the cost.
[On Play] If you have a [Mother D-Reaper] in play, ＜Recovery +1 (Deck)＞ (Place the top card of your deck on top of your security stack.)
[Opponent's Turn] While you have a [Mother D-Reaper] with 6 or more digivolution cards in play, all of your opponent's Digimon get ＜Security A. -1＞ (This Digimon checks 1 fewer security card.)",,,Digimon Card Game,adr-09-gatekeeper-ex2-054,2024-05-27 15:14:30,ADR-09 Gatekeeper,274935.0,['EX-02: Theme Booster Digital Hazard']
Advent of the Ancient Steel Angel,Option,BT16-097,,3.0,,,,,Black,Yellow,,,,,,U,,,"[Main] You may play 1 [Ankylomon] or [Angemon] from your hand without paying the cost. Then, 2 of your Digimon may DNA digivolve into a Digimon card in your hand. If this effect DNA digivolved, ＜Recovery +1 (Deck)＞ (Place the top card of your deck on top of your security stack.)","Security Effect [Security] You may play 1 [Armadillomon] or [Patamon] from your hand or trash without paying the cost. Then, add this card to the hand.",,Digimon Card Game,ancient-angel-of-steel-bt16-097,2024-05-27 15:14:30,Advent of the Ancient Steel Angel,547187.0,['BT-16: Booster Beginning Observer']
Adze Beast Blade and Shining Dragon Bullet,Option,EX4-066,,3.0,,,,,Blue,Red,,,,,,U,,,"[Main] Activate 1 of the effects below.
・If you have [CresGarurumon] in play, 1 of your [Agumon] or [Greymon] may digivolve into [BlitzGreymon] in your hand, ignoring digivolution requirements and without paying the cost.
・If you have [BlitzGreymon] in play, 1 of your [Gabumon] or [Garurumon] may digivolve into [CresGarurumon] in your hand, ignoring digivolution requirements and without paying the cost.","Security Effect [Security] You may play 1 [Gabumon] or [Agumon] from your hand or trash without paying the cost. Then, add this card to your hand.",,Digimon Card Game,golden-beast-blade-red-dragon-bullet-ex4-066,2024-05-27 15:14:30,Adze Beast Blade and Shining Dragon Bullet,499168.0,"['Box Promotion Pack: Alternative Being', 'EX-04: Theme Booster Alternative Being']"
Agumon,Digimon,ST1-03,3.0,3.0,0.0,Red,2.0,,Red,,Reptile,,Rookie,2000.0,Vaccine,U,Rookie,,Inherited Effect [Your Turn] This Digimon gets +1000 DP.,,,Digimon Card Game,agumon-st1-03,2024-05-27 15:14:30,Agumon,229753.0,"['Digimon Illustration Competition Promotion Pack 2022', 'Evolution Cup 2021', 'Regionals 2021', 'Special Promotion Pack 2022 Ver.3.0', 'ST-1: Starter Deck Gaia Red', 'ST-11 Special Entry Pack', 'ST-11: Starter Deck Special Entry Deck', 'Trial Deck: ST-1', 'Trial Deck: STC-1']"
Agumon,Digimon,ST5-03,3.0,3.0,0.0,Black,2.0,,Black,,Reptile,,Rookie,1000.0,Vaccine,U,Rookie,,"＜Blocker＞ (At blocker timing, by suspending this Digimon, it becomes the attack target.)",,,Digimon Card Game,agumon-st5-03,2024-05-27 15:14:30,Agumon,238146.0,['ST-5: Starter Deck Machine Black']
Agumon,Digimon,ST7-02,3.0,3.0,0.0,Red,2.0,,Red,,Dinosaur,,Rookie,2000.0,Vaccine,C,Rookie,,"Inherited Effect [When Attacking] When this Digimon attacks a player, it gets +2000 DP for the turn.",,,Digimon Card Game,agumon-st7-02,2024-05-27 15:14:30,Agumon,247619.0,['ST-7: Starter Deck Gallantmon']
Agumon,Digimon,BT2-033,3.0,3.0,0.0,Yellow,2.0,,Yellow,,Dinosaur,,,3000.0,Vaccine,C,,,"Inherited Effect [When Attacking] If you have 3 or more yellow Tamers in play, ＜Draw 1＞ (Draw 1 card from your deck.)",,,Digimon Card Game,agumon-bt2-033,2024-05-27 15:14:30,Agumon - BT2-033,231000.0,"['BT-02: Booster Ultimate Power', 'BT01-03: Release Special Booster Ver.1.5', 'BTC-01: Booster Ultimate Evolution', ""PB-06: Tamer's Evolution Box 2""]"
Agumon,Digimon,BT2-043,3.0,3.0,0.0,Green,2.0,,Green,,Reptile,,Rookie,1000.0,Vaccine,C,Rookie,,Inherited Effect [Your Turn] This Digimon gets +1000 DP.,,,Digimon Card Game,agumon-bt2-043,2024-05-27 15:14:30,Agumon - BT2-043,229999.0,"['BT-02: Booster Ultimate Power', 'BT01-03: Release Special Booster Ver.1.0', 'BTC-01: Booster Ultimate Evolution']"
Agumon,Digimon,BT3-007,3.0,2.0,1.0,Red,2.0,,Red,,Reptile,,Rookie,4000.0,Virus,C,Rookie,,,,,Digimon Card Game,agumon-bt3-007,2024-05-27 15:14:30,Agumon - BT3-007,231708.0,"['BT-03: Booster Union Impact', 'BT01-03: Release Special Booster Ver.1.5']"
Agumon,Digimon,BT4-008,3.0,3.0,0.0,,2.0,,Red,,Dinosaur,,Rookie,2000.0,Vaccine,C,Rookie,,"Inherited Effect [Your Turn] When this card is trashed due to activating this Digimon's ＜Digi-Burst＞, return this card to its owner's hand.",,,Digimon Card Game,agumon-bt4-008,2024-05-27 15:14:30,Agumon,238085.0,['BT-04: Booster Great Legend']
Agumon,Digimon,BT5-007,3.0,3.0,0.0,Red,2.0,,Red,,Reptile,,Rookie,2000.0,Vaccine,C,Rookie,,"[On Play] Reveal 3 cards from the top of your deck. Add 1 Digimon card with [Greymon] in its name (other than [DoruGreymon], [BurningGreymon] or [DexDoruGreymon]) and 1 Digimon card with [Omnimon] in its name among them to your hand. Place the remaining cards at the bottom of your deck in any order.",,,Digimon Card Game,agumon-bt5-007,2024-05-27 15:14:30,Agumon,243533.0,"['BT-05: Booster Battle Of Omni', 'PB-13: Digimon Card Game Royal Knights Binder Set']"
Agumon,Digimon,BT6-007,3.0,3.0,0.0,Red,,,Red,,Reptile,,,2000.0,Vaccine,U,,,"[All Turns] [Once Per Turn] When you play a Tamer with [Tai Kamiya] in its name, gain 1 memory.","[Your Turn] While this Digimon is [Agumon - Bond of Bravery], it gains ＜Security A. +1＞ (This Digimon checks 1 additional security card.)",,Digimon Card Game,agumon-bt6-007,2024-05-27 15:14:30,Agumon,247892.0,['BT-06: Booster Double Diamond']
Agumon,Digimon,EX1-001,3.0,3.0,0.0,Red,2.0,,Red,,Reptile,,Rookie,2000.0,Vaccine,U,Rookie,,Inherited Effect [When Attacking] [Once Per Turn] Reveal the top 3 cards of your deck. Add 1 Tamer card or 1 Digimon card with [Agumon] in its name among them to your hand. Place the remaining cards at the bottom of your deck in any order.,,,Digimon Card Game,agumon-ex1-001,2024-05-27 15:14:30,Agumon,253588.0,"['EX-01: Theme Booster Classic Collection', 'Illustration Competition Promotion Pack 2023']"
Agumon,Digimon,EX3-027,3.0,3.0,0.0,,,,Yellow,,Reptile,,,2000.0,Vaccine,C,,,"Inherited Effect [Your Turn] [Once Per Turn] When you play a Digimon with the [Four Great Dragons] trait or place [Trial of the Four Great Dragons] in your battle area, ＜Draw 1＞ (Draw 1 card from your deck.)",,,Digimon Card Game,agumon-ex3-027,2024-05-27 15:14:30,Agumon,452915.0,['EX-03: Theme Booster Draconic Roar']
Agumon,Digimon,EX4-005,3.0,3.0,1.0,,,[Digivolve] [Koromon]: Cost 0,Red,Yellow,Dinosaur,,,2000.0,Vaccine,U,,,"[Start of Your Main Phase] If you have a red or yellow Tamer in play, gain 1 memory.","[Your Turn] [Once Per Turn] When one of your red or yellow Tamers becomes suspended, ＜Draw 1＞ (Draw 1 card from your deck.)",[Digivolve] [Koromon]: Cost 0,Digimon Card Game,agumon-ex4-005,2024-05-27 15:14:30,Agumon - EX4-005,500309.0,['EX-04: Theme Booster Alternative Being']
Agumon,Digimon,EX4-038,3.0,3.0,0.0,,,,Black,,Reptile,,,1000.0,Virus,C,,,"[On Play] Reveal the top 3 cards of your deck. Add 1 Digimon card with [Greymon] in its name and 1 Digimon card with [Gabumon], [Garurumon] or [Omnimon] in its name among them to your hand. Place the rest on top of your deck in any order.","[Your Turn] [Once Per Turn] When one of your other Digimon digivolves, gain 1 memory.",,Digimon Card Game,agumon-ex4-038,2024-05-27 15:14:30,Agumon,499134.0,['EX-04: Theme Booster Alternative Being']
Agumon,Digimon,EX8-007,3.0,3.0,1.0,,,[Digivolve] [Koromon]: Cost 0,Red,Green,Reptile,LIBERATOR,,1000.0,Vaccine,U,,,[On Play] Reveal the top 3 cards of your deck. Add 1 card with [Tyrannomon] in its name or the [Reptile] or [Dinosaur] trait and 1 [Ryutaro Williams] among them to the hand. Return the rest to the bottom of the deck.,[Your Turn] This Digimon gets +2000 DP.,[Digivolve] [Koromon]: Cost 0,Digimon Card Game,agumon-ex8-007,2024-11-01 12:01:16,Agumon - EX8-007,604276.0,['EX-08: Extra Booster Chain of Liberation']
Agumon,Digimon,EX8-038,3.0,3.0,1.0,,,[Digivolve] [Koromon]: Cost 0,Green,Purple,Reptile,,,1000.0,Virus,C,,,[On Play] You may suspend 1 Digimon.,"＜Retaliation＞ (When this Digimon is deleted after losing a battle, delete the Digimon it was battling.)",[Digivolve] [Koromon]: Cost 0,Digimon Card Game,agumon-ex8-038,2024-11-01 12:00:46,Agumon - EX8-038,604333.0,['EX-08: Extra Booster Chain of Liberation']
Agumon,Digimon,BT11-046,3.0,3.0,0.0,Green,2.0,,Green,,Reptile,,,1000.0,Vaccine,U,,,[On Play] Reveal the top 4 cards of your deck. Add 1 Tamer card among them to your hand. Place the rest at the bottom of your deck in any order.,"[Your Turn] While you have a Tamer in play, this Digimon gets +2000 DP.",,Digimon Card Game,agumon-bt11-046,2024-05-27 15:14:30,Agumon,477862.0,"['Box Promotion Pack: Dimensional Phase', 'BT-11: Booster Dimensional Phase']"
Agumon,Digimon,BT12-034,3.0,3.0,1.0,Yellow,2.0,[Digivolve] [Koromon]: Cost 0,Yellow,Red,Dinosaur,,Rookie,2000.0,Vaccine,C,Rookie,,[On Play] Reveal the top 4 cards of your deck. Add 1 Digimon card with [Greymon] in its name and 1 [Marcus Damon] among them to your hand. Place the rest at the bottom of your deck in any order.,"[Your Turn] [Once Per Turn] When one of your yellow or red Tamers becomes suspended, 1 of your opponent's Digimon gets -2000 DP for the turn.",[Digivolve] [Koromon]: Cost 0,Digimon Card Game,agumon-bt12-034,2024-05-27 15:14:30,Agumon - BT12-034,492184.0,['BT-12: Booster Across Time']
Agumon,Digimon,BT12-059,3.0,3.0,1.0,Black,2.0,[Digivolve] [Koromon]: Cost 0,Black,Red,Reptile,,Rookie,2000.0,Vaccine,C,Rookie,,[On Play] Reveal the top 4 cards of your deck. Add 1 Digimon card with [Greymon] or [Omnimon] in its name and 1 Tamer card with [Tai Kamiya] in its name among them to your hand. Place the remaining cards at the bottom of your deck in any order.,"[All Turns] While this Digimon has [Greymon] or [Omnimon] in its name, it gets +1000 DP.",[Digivolve] [Koromon]: Cost 0,Digimon Card Game,agumon-bt12-059,2024-05-27 15:14:30,Agumon,490993.0,"['BT-12: Booster Across Time', 'EX-07: Legend Pack 2024']"
Agumon,Digimon,BT13-008,3.0,3.0,1.0,,,[Digivolve] [Koromon]: Cost 0,Red,Yellow,Dinosaur,,,2000.0,Vaccine,C,,,"[Main] [Once Per Turn] For the turn, 1 of your [Marcus Damon]s is also treated as a 3000 DP Digimon and can't digivolve.","[Your Turn] [Once Per Turn] When one of your red or yellow Tamers becomes suspended, you may delete 1 of your opponent's Digimon with 3000 DP or less.",[Digivolve] [Koromon]: Cost 0,Digimon Card Game,agumon-bt13-008,2024-05-27 15:14:30,Agumon,503271.0,"['BT-13: Booster Versus Royal Knights', 'Ultimate Cup 2024 Season 2']"
Agumon,Digimon,BT16-029,3.0,3.0,0.0,,,[Digivolve] Lv.2 w/[Light Fang]/[Night Claw] trait: Cost 0,Yellow,,Dinosaur,Light Fang,,1000.0,Vaccine,C,,,[On Play] Reveal the top 3 cards of your deck. Add 1 [Light Fang] trait card and 1 [Night Claw] trait or 1 2-color card among them to the hand. Return the rest to the bottom of the deck.,[Your Turn] All of your opponent's Security Digimon get -3000 DP.,[Digivolve] Lv.2 w/[Light Fang]/[Night Claw] trait: Cost 0,Digimon Card Game,agumon-bt16-029,2024-05-27 15:14:30,Agumon,548623.0,['BT-16: Booster Beginning Observer']
Agumon,Digimon,BT17-029,3.0,3.0,0.0,,,,Yellow,,Dinosaur,,,1000.0,Vaccine,C,,,"[When Attacking] By suspending 1 of your yellow Tamers, ＜Draw 1＞ (Draw 1 card from your deck.)",[Your Turn] All of your opponent's security Digimon get -3000 DP.,,Digimon Card Game,agumon-bt17-029,2024-05-27 15:14:30,Agumon - BT17-029,561104.0,['BT-17: Booster Secret Crisis']
Agumon,Digimon,BT17-052,3.0,3.0,0.0,,,,Black,,Reptile,SoC,,1000.0,Virus,C,,,"[All Turns] [Once Per Turn] When one of your [Kosuke Kisakata] is played, gain 1 memory and ＜Draw 1＞ (Draw 1 card from your deck.)",＜Reboot＞ (Unsuspend this Digimon during your opponent's unsuspend phase.),,Digimon Card Game,agumon-bt17-052,2024-05-27 15:14:30,Agumon - BT17-052,561186.0,['BT-17: Booster Secret Crisis']
Agumon,Digimon,BT21-007,3.0,3.0,0.0,,,,Red,,Reptile,,,1000.0,Vaccine,C,,,[On Play] You may return 1 Digimon card with the [Reptile] or [Dragonkin] trait from your trash to the hand.,[Your Turn] This Digimon gets +2000 DP.,,Digimon Card Game,agumon-bt21-007,2025-04-24 14:34:44,Agumon - BT21-007,624353.0,['BT-21: Booster World Convergence']
Agumon,Digimon,BT21-040,3.0,3.0,1.0,,,[Digivolve] [Koromon]/Lv.2 w/[Hero] trait: Cost 0,Yellow,Red,Dinosaur,Hero,,1000.0,Vaccine,U,,,"[Your Turn] While your opponent has a level 6 or higher Digimon or you have 3 or more [Hero] trait Tamers with different names, this Digimon may digivolve into [ShineGreymon] in the hand for a digivolution cost of 4, ignoring digivolution requirements.",[Your Turn] This Digimon gets +2000 DP.,[Digivolve] [Koromon]/Lv.2 w/[Hero] trait: Cost 0,Digimon Card Game,agumon-bt21-040,2025-03-16 12:04:18,Agumon,619679.0,['BT-21: Booster World Convergence']
Agumon,Digimon,BT22-008,3.0,3.0,0.0,,,[Digivolve] [Koromon]/Lv.2 w/[CS] trait: Cost 0,Red,,Reptile,CS,,1000.0,Vaccine,U,,,"[On Play] You may return 1 Digimon card with [Greymon], [Garurumon] or [Omnimon] in its name from your trash to the hand.",[End of Your Turn] This Digimon and any of your other Digimon may DNA digivolve into a Digimon card in the hand.,[Digivolve] [Koromon]/Lv.2 w/[CS] trait: Cost 0,Digimon Card Game,agumon-bt22-008,2025-05-10 00:00:29,Agumon,633423.0,['BT-22: Booster Cyber Eden']
Agumon (X Antibody),Digimon,BT9-008,3.0,3.0,0.0,,,[Digivolve] [Agumon]: Cost 0,Red,,Dinosaur,X Antibody,,2000.0,Vaccine,U,,,[On Play] [When Digivolving] Reveal the top 3 cards of your deck. Add 1 [X Antibody] and 1 card with [Greymon] or [Omnimon] in its name among them to your hand. Place the remaining cards at the bottom of your deck in any order.,,[Digivolve] [Agumon]: Cost 0,Digimon Card Game,agumon-x-antibody-bt9-008,2024-05-27 15:14:30,Agumon (X Antibody),277743.0,['BT-09: Booster X Record']
Agumon (X Antibody),Digimon,BT11-062,3.0,4.0,0.0,,,[Digivolve] [Agumon]: Cost 0,Black,,Reptile,X Antibody,,3000.0,Virus,U,,,[On Play] [When Digivolving] Reveal the top 3 cards of your deck. Add 1 card with [Greymon] or [X Antibody] in its name and 1 black Tamer card among them to your hand. Place the rest at the bottom of your deck in any order.,"[All Turns] When this Digimon with [Greymon] or [Omnimon] in its name would be deleted or returned to your hand or deck by an effect, by placing 1 [X Antibody] from this Digimon's digivolution cards at the bottom of its owner's deck, prevent this Digimon from leaving play.",[Digivolve] [Agumon]: Cost 0,Digimon Card Game,agumon-x-antibody-bt11-062,2024-05-27 15:14:30,Agumon (X Antibody),477893.0,['BT-11: Booster Dimensional Phase']
Agumon (X Antibody),Digimon,BT22-068,3.0,3.0,1.0,,,[Digivolve] [Koromon]/[Agumon]: Cost 0,Purple,Green,Reptile,X Antibody,,2000.0,Virus,U,,,[On Play] [When Digivolving] You may return 1 Digimon card with [Tyrannomon] in its name or the [Dinosaur] trait from your trash to the hand.,"[All Turns] [Once Per Turn] When this Digimon deletes your opponent's Digimon in battle, gain 1 memory.",[Digivolve] [Koromon]/[Agumon]: Cost 0,Digimon Card Game,agumon-x-antibody-bt22-068,2025-06-21 18:00:58,,,['BT-22: Booster Cyber Eden']
Agumon Expert,Digimon,BT1-011,3.0,3.0,0.0,Red,2.0,,Red,,Dinosaur,,Rookie,1000.0,Vaccine,C,Rookie,,[On Play] Return 1 Digimon card with [Agumon] in its name from your recycle bin to your hand.,,,Digimon Card Game,agumon-expert-bt1-011,2024-05-27 15:14:30,Agumon Expert,229822.0,"['BT-01: Booster New Evolution', 'BT01-03: Release Special Booster Ver.1.0', 'BTC-01: Booster Ultimate Evolution']"
Agunimon,Digimon,BT4-011,4.0,5.0,2.0,Red,3.0,,Red,,Wizard,,Hybrid,5000.0,Variable,U,Hybrid,,You may digivolve this card from your hand onto one of your red Tamers as if the Tamer is a level 3 red Digimon.,,,Digimon Card Game,agunimon-bt4-011,2024-05-27 15:14:30,Agunimon,238090.0,"['BT-04: Booster Great Legend', ""PB-06: Tamer's Evolution Box 2""]"
Agunimon,Digimon,BT12-012,4.0,6.0,2.0,Red,3.0,[Digivolve] [BurningGreymon]: Cost 1,Red,,Wizard,,Hybrid,5000.0,Variable,U,Hybrid,,"You may digivolve this card from your hand onto one of your [Takuya Kanbara]s as if the Tamer is a level 3 red Digimon.
[On Deletion] You may play 1 [Flamemon] suspended from your hand without paying its cost.",[On Deletion] You may play 1 [Takuya Kanbara] from your hand without paying its cost.,[Digivolve] [BurningGreymon]: Cost 1,Digimon Card Game,agunimon-bt12-012,2024-05-27 15:14:30,Agunimon,492175.0,"['BT-12: Booster Across Time', 'Ultimate Cup 2024']"
Agunimon,Digimon,BT17-011,4.0,6.0,3.0,,,"[Digivolve] [Takuya Kanbara]: Cost 2 
[Digivolve] [BurningGreymon]: Cost 1",Red,Purple,Wizard,,Hybrid,5000.0,Variable,C,Hybrid,,"You may digivolve this card from your hand onto one of your red Tamers as if that card is a level 3 red Digimon.
[When Digivolving] If [BurningGreymon] is in this Digimon's digivolution cards or you have a blue or green Digimon or Tamer, this Digimon may digivolve into [AncientGreymon] in the hand for a digivolution cost of 3, ignoring its digivolution requirements. If digivolved by this effect, delete this Digimon at the end of the turn.",[Your Turn] This Digimon gets +2000 DP.,"[Digivolve] [Takuya Kanbara]: Cost 2 
[Digivolve] [BurningGreymon]: Cost 1",Digimon Card Game,agunimon-bt17-011,2024-05-27 15:14:30,Agunimon,559588.0,"['BT-17: Booster Secret Crisis', 'EX-08: Legend Pack 2024']"
Agunimon,Digimon,BT21-013,4.0,5.0,2.0,,,[Digivolve] [BurningGreymon]: Cost 0,Red,,Wizard,Hero,Hybrid,5000.0,Variable,U,Hybrid,,"[When Digivolving] You may place 1 [Hybrid] or [Hero] trait Digimon card from your hand or trash as this Digimon's bottom digivolution card or under any of your red Tamers with inherited effects.
[When Attacking] This Digimon may digivolve into a red [Hybrid] or [Hero] trait Digimon card in the hand with the digivolution cost reduced by 1.",[Your Turn] This Digimon gets +2000 DP.,[Digivolve] [BurningGreymon]: Cost 0,Digimon Card Game,agunimon-bt21-013,2025-03-16 12:05:50,Agunimon,622267.0,['BT-21: Booster World Convergence']
Ai & Mako,Tamer,BT19-088,,3.0,,,,,Purple,,,,,,,U,,,"[Start of Your Main Phase] If your opponent has a Digimon, gain 1 memory.
[Main] If you have 20 or more cards in your trash, by suspending this Tamer, 1 of your [Impmon] may digivolve into [Beelzemon] in the hand or trash for a digivolution cost of 4, ignoring its digivolution requirements.",Security Effect [Security] Play this card without paying the cost.,,Digimon Card Game,ai-mako-bt19-088,2024-09-09 08:03:59,Ai & Mako,607279.0,"['Box Promotion: Special Booster Ver.2.5', 'BT-19: Booster Xros Evolution', 'BT19-20: Special Booster Ver.2.5']"
